Number,Algorithm,Size,Density,Time
1366,BFS,220,1,37
1367,DFS,220,1,38
1368,BFS,220,1,37
1369,DFS,220,1,37
1370,BFS,220,1,36
1371,DFS,220,1,37
1372,BFS,220,1,36
1373,DFS,220,1,37
1374,BFS,220,1,36
1375,DFS,220,1,37
1376,BFS,220,1,37
1377,DFS,220,1,37
1378,BFS,220,1,37
1379,DFS,220,1,37
1380,BFS,220,1,37
1381,DFS,220,1,37
1382,BFS,220,1,37
1383,DFS,220,1,37
1384,BFS,220,1,37
1385,DFS,220,1,37
1386,BFS,220,1,36
1387,DFS,220,1,37
1388,BFS,220,1,36
1389,DFS,220,1,37
1390,BFS,220,1,36
1391,DFS,220,1,37
1392,BFS,220,1,37
1393,DFS,220,1,37
1394,BFS,220,1,36
1395,DFS,220,1,37
1396,BFS,220,1,36
1397,DFS,220,1,37
1398,BFS,220,1,36
1399,DFS,220,1,37
1400,BFS,250,0,2,53
1401,DFS,250,0,2,54
1402,BFS,250,0,2,54
1403,DFS,250,0,2,55
1404,BFS,250,0,2,54
1405,DFS,250,0,2,54
1406,BFS,250,0,2,53
1407,DFS,250,0,2,54
1408,BFS,250,0,2,53
1409,DFS,250,0,2,54
1410,BFS,250,0,2,54
1411,DFS,250,0,2,55
1412,BFS,250,0,2,54
1413,DFS,250,0,2,54
1414,BFS,250,0,2,53
1415,DFS,250,0,2,54
1416,BFS,250,0,2,54
1417,DFS,250,0,2,54
1418,BFS,250,0,2,54
1419,DFS,250,0,2,55
1420,BFS,250,0,2,54
1421,DFS,250,0,2,55
1422,BFS,250,0,2,54
1423,DFS,250,0,2,54
1424,BFS,250,0,2,54
1425,DFS,250,0,2,54
1426,BFS,250,0,2,54
1427,DFS,250,0,2,54
1428,BFS,250,0,2,54
1429,DFS,250,0,2,55
1430,BFS,250,0,2,54
1431,DFS,250,0,2,58
1432,BFS,250,0,2,54
1433,DFS,250,0,2,56
1434,BFS,250,0,2,54
1435,DFS,250,0,2,54
1436,BFS,250,0,2,56
1437,DFS,250,0,2,55
1438,BFS,250,0,2,54
1439,DFS,250,0,2,54
1440,BFS,250,0,4,54
1441,DFS,250,0,4,54
1442,BFS,250,0,4,53
1443,DFS,250,0,4,54
1444,BFS,250,0,4,53
1445,DFS,250,0,4,54
1446,BFS,250,0,4,56
1447,DFS,250,0,4,54
1448,BFS,250,0,4,55
1449,DFS,250,0,4,54
1450,BFS,250,0,4,53
1451,DFS,250,0,4,54
1452,BFS,250,0,4,55
1453,DFS,250,0,4,54
1454,BFS,250,0,4,54
1455,DFS,250,0,4,54
1456,BFS,250,0,4,54
1457,DFS,250,0,4,54
1458,BFS,250,0,4,54
1459,DFS,250,0,4,54
1460,BFS,250,0,4,54
1461,DFS,250,0,4,54
1462,BFS,250,0,4,53
1463,DFS,250,0,4,54
1464,BFS,250,0,4,54
1465,DFS,250,0,4,54
1466,BFS,250,0,4,53
1467,DFS,250,0,4,54
1468,BFS,250,0,4,54
1469,DFS,250,0,4,54
1470,BFS,250,0,4,54
1471,DFS,250,0,4,54
1472,BFS,250,0,4,53
1473,DFS,250,0,4,54
1474,BFS,250,0,4,55
1475,DFS,250,0,4,54
1476,BFS,250,0,4,54
1477,DFS,250,0,4,54
1478,BFS,250,0,4,54
1479,DFS,250,0,4,54
1480,BFS,250,0,6,54
1481,DFS,250,0,6,54
1482,BFS,250,0,6,54
1483,DFS,250,0,6,55
1484,BFS,250,0,6,54
1485,DFS,250,0,6,61
1486,BFS,250,0,6,66
1487,DFS,250,0,6,83
1488,BFS,250,0,6,97
1489,DFS,250,0,6,145
1490,BFS,250,0,6,115
1491,DFS,250,0,6,84
1492,BFS,250,0,6,71
1493,DFS,250,0,6,63
1494,BFS,250,0,6,61
1495,DFS,250,0,6,61
1496,BFS,250,0,6,56
1497,DFS,250,0,6,54
1498,BFS,250,0,6,55
1499,DFS,250,0,6,54
1500,BFS,250,0,6,54
1501,DFS,250,0,6,57
1502,BFS,250,0,6,56
1503,DFS,250,0,6,57
1504,BFS,250,0,6,61
1505,DFS,250,0,6,64
1506,BFS,250,0,6,82
1507,DFS,250,0,6,122
1508,BFS,250,0,6,96
1509,DFS,250,0,6,76
1510,BFS,250,0,6,66
1511,DFS,250,0,6,61
1512,BFS,250,0,6,60
1513,DFS,250,0,6,54
1514,BFS,250,0,6,54
1515,DFS,250,0,6,54
1516,BFS,250,0,6,53
1517,DFS,250,0,6,54
1518,BFS,250,0,6,54
1519,DFS,250,0,6,53
1520,BFS,250,0,8,54
1521,DFS,250,0,8,54
1522,BFS,250,0,8,54
1523,DFS,250,0,8,54
1524,BFS,250,0,8,55
1525,DFS,250,0,8,54
1526,BFS,250,0,8,54
1527,DFS,250,0,8,54
1528,BFS,250,0,8,53
1529,DFS,250,0,8,54
1530,BFS,250,0,8,54
1531,DFS,250,0,8,54
1532,BFS,250,0,8,54
1533,DFS,250,0,8,54
1534,BFS,250,0,8,54
1535,DFS,250,0,8,54
1536,BFS,250,0,8,53
1537,DFS,250,0,8,54
1538,BFS,250,0,8,54
1539,DFS,250,0,8,54
1540,BFS,250,0,8,53
1541,DFS,250,0,8,54
1542,BFS,250,0,8,54
1543,DFS,250,0,8,54
1544,BFS,250,0,8,54
1545,DFS,250,0,8,54
1546,BFS,250,0,8,54
1547,DFS,250,0,8,54
1548,BFS,250,0,8,54
1549,DFS,250,0,8,54
1550,BFS,250,0,8,53
1551,DFS,250,0,8,54
1552,BFS,250,0,8,53
1553,DFS,250,0,8,54
1554,BFS,250,0,8,55
1555,DFS,250,0,8,54
1556,BFS,250,0,8,54
1557,DFS,250,0,8,54
1558,BFS,250,0,8,53
1559,DFS,250,0,8,54
1560,BFS,250,1,54
1561,DFS,250,1,54
1562,BFS,250,1,55
1563,DFS,250,1,54
1564,BFS,250,1,54
1565,DFS,250,1,54
1566,BFS,250,1,54
1567,DFS,250,1,54
1568,BFS,250,1,53
1569,DFS,250,1,54
1570,BFS,250,1,54
1571,DFS,250,1,54
1572,BFS,250,1,53
1573,DFS,250,1,54
1574,BFS,250,1,54
1575,DFS,250,1,54
1576,BFS,250,1,54
1577,DFS,250,1,54
1578,BFS,250,1,53
1579,DFS,250,1,54
1580,BFS,250,1,53
1581,DFS,250,1,54
1582,BFS,250,1,53
1583,DFS,250,1,54
1584,BFS,250,1,53
1585,DFS,250,1,54
1586,BFS,250,1,54
1587,DFS,250,1,54
1588,BFS,250,1,54
1589,DFS,250,1,54
1590,BFS,250,1,54
1591,DFS,250,1,54
1592,BFS,250,1,54
1593,DFS,250,1,54
1594,BFS,250,1,53
1595,DFS,250,1,54
1596,BFS,250,1,54
1597,DFS,250,1,54
1598,BFS,250,1,53
1599,DFS,250,1,54
1600,BFS,290,0,2,84
1601,DFS,290,0,2,83
1602,BFS,290,0,2,83
1603,DFS,290,0,2,83
1604,BFS,290,0,2,83
1605,DFS,290,0,2,83
1606,BFS,290,0,2,84
1607,DFS,290,0,2,83
1608,BFS,290,0,2,83
1609,DFS,290,0,2,83
1610,BFS,290,0,2,83
1611,DFS,290,0,2,83
1612,BFS,290,0,2,83
1613,DFS,290,0,2,83
1614,BFS,290,0,2,83
1615,DFS,290,0,2,83
1616,BFS,290,0,2,83
1617,DFS,290,0,2,84
1618,BFS,290,0,2,83
1619,DFS,290,0,2,83
1620,BFS,290,0,2,84
1621,DFS,290,0,2,83
1622,BFS,290,0,2,83
1623,DFS,290,0,2,84
1624,BFS,290,0,2,83
1625,DFS,290,0,2,83
1626,BFS,290,0,2,83
1627,DFS,290,0,2,83
1628,BFS,290,0,2,83
1629,DFS,290,0,2,88
1630,BFS,290,0,2,84
1631,DFS,290,0,2,83
1632,BFS,290,0,2,84
1633,DFS,290,0,2,83
1634,BFS,290,0,2,83
1635,DFS,290,0,2,84
1636,BFS,290,0,2,83
1637,DFS,290,0,2,83
1638,BFS,290,0,2,84
1639,DFS,290,0,2,83
1640,BFS,290,0,4,83
1641,DFS,290,0,4,84
1642,BFS,290,0,4,84
1643,DFS,290,0,4,83
1644,BFS,290,0,4,83
1645,DFS,290,0,4,83
1646,BFS,290,0,4,83
1647,DFS,290,0,4,84
1648,BFS,290,0,4,83
1649,DFS,290,0,4,83
1650,BFS,290,0,4,83
1651,DFS,290,0,4,83
1652,BFS,290,0,4,83
1653,DFS,290,0,4,84
1654,BFS,290,0,4,84
1655,DFS,290,0,4,83
1656,BFS,290,0,4,83
1657,DFS,290,0,4,83
1658,BFS,290,0,4,83
1659,DFS,290,0,4,84
1660,BFS,290,0,4,83
1661,DFS,290,0,4,83
1662,BFS,290,0,4,83
1663,DFS,290,0,4,83
1664,BFS,290,0,4,83
1665,DFS,290,0,4,84
1666,BFS,290,0,4,83
1667,DFS,290,0,4,83
1668,BFS,290,0,4,83
1669,DFS,290,0,4,83
1670,BFS,290,0,4,83
1671,DFS,290,0,4,84
1672,BFS,290,0,4,83
1673,DFS,290,0,4,83
1674,BFS,290,0,4,83
1675,DFS,290,0,4,83
1676,BFS,290,0,4,83
1677,DFS,290,0,4,84
1678,BFS,290,0,4,83
1679,DFS,290,0,4,83
1680,BFS,290,0,6,83
1681,DFS,290,0,6,83
1682,BFS,290,0,6,83
1683,DFS,290,0,6,84
1684,BFS,290,0,6,83
1685,DFS,290,0,6,83
1686,BFS,290,0,6,83
1687,DFS,290,0,6,83
1688,BFS,290,0,6,83
1689,DFS,290,0,6,84
1690,BFS,290,0,6,83
1691,DFS,290,0,6,83
1692,BFS,290,0,6,84
1693,DFS,290,0,6,83
1694,BFS,290,0,6,83
1695,DFS,290,0,6,84
1696,BFS,290,0,6,83
1697,DFS,290,0,6,83
1698,BFS,290,0,6,83
1699,DFS,290,0,6,83
1700,BFS,290,0,6,83
1701,DFS,290,0,6,86
1702,BFS,290,0,6,83
1703,DFS,290,0,6,83
1704,BFS,290,0,6,83
1705,DFS,290,0,6,83
1706,BFS,290,0,6,83
1707,DFS,290,0,6,84
1708,BFS,290,0,6,84
1709,DFS,290,0,6,83
1710,BFS,290,0,6,83
1711,DFS,290,0,6,84
1712,BFS,290,0,6,83
1713,DFS,290,0,6,84
1714,BFS,290,0,6,83
1715,DFS,290,0,6,83
1716,BFS,290,0,6,82
1717,DFS,290,0,6,83
1718,BFS,290,0,6,83
1719,DFS,290,0,6,84
1720,BFS,290,0,8,83
1721,DFS,290,0,8,83
1722,BFS,290,0,8,83
1723,DFS,290,0,8,83
1724,BFS,290,0,8,84
1725,DFS,290,0,8,84
1726,BFS,290,0,8,83
1727,DFS,290,0,8,83
1728,BFS,290,0,8,83
1729,DFS,290,0,8,83
1730,BFS,290,0,8,83
1731,DFS,290,0,8,84
1732,BFS,290,0,8,83
1733,DFS,290,0,8,83
1734,BFS,290,0,8,83
1735,DFS,290,0,8,83
1736,BFS,290,0,8,85
1737,DFS,290,0,8,83
1738,BFS,290,0,8,83
1739,DFS,290,0,8,83
1740,BFS,290,0,8,83
1741,DFS,290,0,8,83
1742,BFS,290,0,8,84
1743,DFS,290,0,8,83
1744,BFS,290,0,8,83
1745,DFS,290,0,8,84
1746,BFS,290,0,8,83
1747,DFS,290,0,8,83
1748,BFS,290,0,8,86
1749,DFS,290,0,8,83
1750,BFS,290,0,8,83
1751,DFS,290,0,8,83
1752,BFS,290,0,8,83
1753,DFS,290,0,8,83
1754,BFS,290,0,8,85
1755,DFS,290,0,8,83
1756,BFS,290,0,8,83
1757,DFS,290,0,8,83
1758,BFS,290,0,8,83
1759,DFS,290,0,8,83
1760,BFS,290,1,84
1761,DFS,290,1,83
1762,BFS,290,1,83
1763,DFS,290,1,83
1764,BFS,290,1,83
1765,DFS,290,1,83
1766,BFS,290,1,84
1767,DFS,290,1,83
1768,BFS,290,1,83
1769,DFS,290,1,83
1770,BFS,290,1,83
1771,DFS,290,1,83
1772,BFS,290,1,85
1773,DFS,290,1,83
1774,BFS,290,1,83
1775,DFS,290,1,83
1776,BFS,290,1,83
1777,DFS,290,1,83
1778,BFS,290,1,85
1779,DFS,290,1,83
1780,BFS,290,1,83
1781,DFS,290,1,83
1782,BFS,290,1,83
1783,DFS,290,1,83
1784,BFS,290,1,85
1785,DFS,290,1,83
1786,BFS,290,1,83
1787,DFS,290,1,83
1788,BFS,290,1,83
1789,DFS,290,1,83
1790,BFS,290,1,84
1791,DFS,290,1,83
1792,BFS,290,1,83
1793,DFS,290,1,83
1794,BFS,290,1,83
1795,DFS,290,1,83
1796,BFS,290,1,84
1797,DFS,290,1,83
1798,BFS,290,1,83
1799,DFS,290,1,83
1800,BFS,300,0,2,92
1801,DFS,300,0,2,92
1802,BFS,300,0,2,93
1803,DFS,300,0,2,92
1804,BFS,300,0,2,92
1805,DFS,300,0,2,92
1806,BFS,300,0,2,93
1807,DFS,300,0,2,92
1808,BFS,300,0,2,93
1809,DFS,300,0,2,91
1810,BFS,300,0,2,92
1811,DFS,300,0,2,91
1812,BFS,300,0,2,92
1813,DFS,300,0,2,92
1814,BFS,300,0,2,93
1815,DFS,300,0,2,92
1816,BFS,300,0,2,92
1817,DFS,300,0,2,92
1818,BFS,300,0,2,92
1819,DFS,300,0,2,91
1820,BFS,300,0,2,92
1821,DFS,300,0,2,92
1822,BFS,300,0,2,92
1823,DFS,300,0,2,92
1824,BFS,300,0,2,92
1825,DFS,300,0,2,94
1826,BFS,300,0,2,92
1827,DFS,300,0,2,92
1828,BFS,300,0,2,92
1829,DFS,300,0,2,102
1830,BFS,300,0,2,103
1831,DFS,300,0,2,104
1832,BFS,300,0,2,118
1833,DFS,300,0,2,108
1834,BFS,300,0,2,100
1835,DFS,300,0,2,91
1836,BFS,300,0,2,92
1837,DFS,300,0,2,92
1838,BFS,300,0,2,92
1839,DFS,300,0,2,91
1840,BFS,300,0,4,92
1841,DFS,300,0,4,92
1842,BFS,300,0,4,93
1843,DFS,300,0,4,92
1844,BFS,300,0,4,92
1845,DFS,300,0,4,92
1846,BFS,300,0,4,91
1847,DFS,300,0,4,92
1848,BFS,300,0,4,93
1849,DFS,300,0,4,92
1850,BFS,300,0,4,92
1851,DFS,300,0,4,92
1852,BFS,300,0,4,92
1853,DFS,300,0,4,92
1854,BFS,300,0,4,93
1855,DFS,300,0,4,91
1856,BFS,300,0,4,92
1857,DFS,300,0,4,92
1858,BFS,300,0,4,92
1859,DFS,300,0,4,92
1860,BFS,300,0,4,93
1861,DFS,300,0,4,92
1862,BFS,300,0,4,92
1863,DFS,300,0,4,92
1864,BFS,300,0,4,92
1865,DFS,300,0,4,92
1866,BFS,300,0,4,92
1867,DFS,300,0,4,92
1868,BFS,300,0,4,92
1869,DFS,300,0,4,92
1870,BFS,300,0,4,92
1871,DFS,300,0,4,92
1872,BFS,300,0,4,92
1873,DFS,300,0,4,92
1874,BFS,300,0,4,92
1875,DFS,300,0,4,92
1876,BFS,300,0,4,91
1877,DFS,300,0,4,92
1878,BFS,300,0,4,92
1879,DFS,300,0,4,92
1880,BFS,300,0,6,92
1881,DFS,300,0,6,92
1882,BFS,300,0,6,93
1883,DFS,300,0,6,91
1884,BFS,300,0,6,91
1885,DFS,300,0,6,92
1886,BFS,300,0,6,92
1887,DFS,300,0,6,92
1888,BFS,300,0,6,93
1889,DFS,300,0,6,92
1890,BFS,300,0,6,92
1891,DFS,300,0,6,92
1892,BFS,300,0,6,92
1893,DFS,300,0,6,92
1894,BFS,300,0,6,94
1895,DFS,300,0,6,92
1896,BFS,300,0,6,92
1897,DFS,300,0,6,92
1898,BFS,300,0,6,95
1899,DFS,300,0,6,93
1900,BFS,300,0,6,93
1901,DFS,300,0,6,93
1902,BFS,300,0,6,92
1903,DFS,300,0,6,91
1904,BFS,300,0,6,92
1905,DFS,300,0,6,104
1906,BFS,300,0,6,93
1907,DFS,300,0,6,92
1908,BFS,300,0,6,92
1909,DFS,300,0,6,92
1910,BFS,300,0,6,93
1911,DFS,300,0,6,102
1912,BFS,300,0,6,93
1913,DFS,300,0,6,92
1914,BFS,300,0,6,93
1915,DFS,300,0,6,97
1916,BFS,300,0,6,104
1917,DFS,300,0,6,95
1918,BFS,300,0,6,94
1919,DFS,300,0,6,93
1920,BFS,300,0,8,94
1921,DFS,300,0,8,102
1922,BFS,300,0,8,94
1923,DFS,300,0,8,109
1924,BFS,300,0,8,120
1925,DFS,300,0,8,242
1926,BFS,300,0,8,163
1927,DFS,300,0,8,174
1928,BFS,300,0,8,216
1929,DFS,300,0,8,170
1930,BFS,300,0,8,148
1931,DFS,300,0,8,118
1932,BFS,300,0,8,100
1933,DFS,300,0,8,92
1934,BFS,300,0,8,97
1935,DFS,300,0,8,93
1936,BFS,300,0,8,94
1937,DFS,300,0,8,93
1938,BFS,300,0,8,92
1939,DFS,300,0,8,91
1940,BFS,300,0,8,93
1941,DFS,300,0,8,92
1942,BFS,300,0,8,93
1943,DFS,300,0,8,92
1944,BFS,300,0,8,92
1945,DFS,300,0,8,93
1946,BFS,300,0,8,93
1947,DFS,300,0,8,92
1948,BFS,300,0,8,94
1949,DFS,300,0,8,92
1950,BFS,300,0,8,93
1951,DFS,300,0,8,95
1952,BFS,300,0,8,95
1953,DFS,300,0,8,93
1954,BFS,300,0,8,95
1955,DFS,300,0,8,93
1956,BFS,300,0,8,93
1957,DFS,300,0,8,92
1958,BFS,300,0,8,97
1959,DFS,300,0,8,93
1960,BFS,300,1,94
1961,DFS,300,1,92
1962,BFS,300,1,92
1963,DFS,300,1,93
1964,BFS,300,1,93
1965,DFS,300,1,93
1966,BFS,300,1,93
1967,DFS,300,1,92
1968,BFS,300,1,94
1969,DFS,300,1,93
1970,BFS,300,1,92
1971,DFS,300,1,93
1972,BFS,300,1,94
1973,DFS,300,1,92
1974,BFS,300,1,93
1975,DFS,300,1,92
1976,BFS,300,1,93
1977,DFS,300,1,92
1978,BFS,300,1,92
1979,DFS,300,1,92
1980,BFS,300,1,93
1981,DFS,300,1,92
1982,BFS,300,1,92
1983,DFS,300,1,92
1984,BFS,300,1,92
1985,DFS,300,1,96
1986,BFS,300,1,93
1987,DFS,300,1,92
1988,BFS,300,1,92
1989,DFS,300,1,91
1990,BFS,300,1,91
1991,DFS,300,1,92
1992,BFS,300,1,92
1993,DFS,300,1,92
1994,BFS,300,1,92
1995,DFS,300,1,92
1996,BFS,300,1,92
1997,DFS,300,1,92
1998,BFS,300,1,91
1999,DFS,300,1,91
